PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title,class_ticket,num_ticket
1,0,3,male,22.0,1,0,7.25,U,S,Mr,A,21171
2,1,1,female,38.0,1,0,71.2833,C,C,Mrs,PC,17599
3,1,3,female,26.0,0,0,7.925,U,S,Miss,STONO,3101282
4,1,1,female,35.0,1,0,53.1,C,S,Mrs,U,113803
5,0,3,male,35.0,0,0,8.05,U,S,Mr,U,373450
6,0,3,male,29.69911764705882,0,0,8.4583,U,Q,Mr,U,330877
7,0,1,male,54.0,0,0,51.8625,E,S,Mr,U,17463
8,0,3,male,2.0,3,1,21.075,U,S,Master,U,349909
9,1,3,female,27.0,0,2,11.1333,U,S,Mrs,U,347742
10,1,2,female,14.0,1,0,30.0708,U,C,Mrs,U,237736
11,1,3,female,4.0,1,1,16.7,G,S,Miss,PP,9549
12,1,1,female,58.0,0,0,26.55,C,S,Miss,U,113783
13,0,3,male,20.0,0,0,8.05,U,S,Mr,A,2151
14,0,3,male,39.0,1,5,31.275,U,S,Mr,U,347082
15,0,3,female,14.0,0,0,7.8542,U,S,Miss,U,350406
16,1,2,female,55.0,0,0,16.0,U,S,Mrs,U,248706
17,0,3,male,2.0,4,1,29.125,U,Q,Master,U,382652
18,1,2,male,29.69911764705882,0,0,13.0,U,S,Mr,U,244373
19,0,3,female,31.0,1,0,18.0,U,S,Mrs,U,345763
20,1,3,female,29.69911764705882,0,0,7.225,U,C,Mrs,U,2649
21,0,2,male,35.0,0,0,26.0,U,S,Mr,U,239865
22,1,2,male,34.0,0,0,13.0,D,S,Mr,U,248698
23,1,3,female,15.0,0,0,8.0292,U,Q,Miss,U,330923
24,1,1,male,28.0,0,0,35.5,A,S,Mr,U,113788
25,0,3,female,8.0,3,1,21.075,U,S,Miss,U,349909
26,1,3,female,38.0,1,5,31.3875,U,S,Mrs,U,347077
27,0,3,male,29.69911764705882,0,0,7.225,U,C,Mr,U,2631
28,0,1,male,19.0,3,2,263.0,C,S,Mr,U,19950
29,1,3,female,29.69911764705882,0,0,7.8792,U,Q,Miss,U,330959
30,0,3,male,29.69911764705882,0,0,7.8958,U,S,Mr,U,349216
31,0,1,male,40.0,0,0,27.7208,U,C,Don,PC,17601
32,1,1,female,29.69911764705882,1,0,146.5208,B,C,Mrs,PC,17569
33,1,3,female,29.69911764705882,0,0,7.75,U,Q,Miss,U,335677
34,0,2,male,66.0,0,0,10.5,U,S,Mr,CA,24579
35,0,1,male,28.0,1,0,82.1708,U,C,Mr,PC,17604
36,0,1,male,42.0,1,0,52.0,U,S,Mr,U,113789
37,1,3,male,29.69911764705882,0,0,7.2292,U,C,Mr,U,2677
38,0,3,male,21.0,0,0,8.05,U,S,Mr,A,2152
39,0,3,female,18.0,2,0,18.0,U,S,Miss,U,345764
40,1,3,female,14.0,1,0,11.2417,U,C,Miss,U,2651
41,0,3,female,40.0,1,0,9.475,U,S,Mrs,U,7546
42,0,2,female,27.0,1,0,21.0,U,S,Mrs,U,11668
43,0,3,male,29.69911764705882,0,0,7.8958,U,C,Mr,U,349253
44,1,2,female,3.0,1,2,41.5792,U,C,Miss,SCParis,2123
45,1,3,female,19.0,0,0,7.8792,U,Q,Miss,U,330958
46,0,3,male,29.69911764705882,0,0,8.05,U,S,Mr,SCA,23567
47,0,3,male,29.69911764705882,1,0,15.5,U,Q,Mr,U,370371
48,1,3,female,29.69911764705882,0,0,7.75,U,Q,Miss,U,14311
49,0,3,male,29.69911764705882,2,0,21.6792,U,C,Mr,U,2662
50,0,3,female,18.0,1,0,17.8,U,S,Mrs,U,349237
51,0,3,male,7.0,4,1,39.6875,U,S,Master,U,3101295
52,0,3,male,21.0,0,0,7.8,U,S,Mr,A,39886
53,1,1,female,49.0,1,0,76.7292,D,C,Mrs,PC,17572
54,1,2,female,29.0,1,0,26.0,U,S,Mrs,U,2926
55,0,1,male,65.0,0,1,61.9792,B,C,Mr,U,113509
56,1,1,male,29.69911764705882,0,0,35.5,C,S,Mr,U,19947
57,1,2,female,21.0,0,0,10.5,U,S,Miss,CA,31026
58,0,3,male,28.5,0,0,7.2292,U,C,Mr,U,2697
59,1,2,female,5.0,1,2,27.75,U,S,Miss,CA,34651
60,0,3,male,11.0,5,2,46.9,U,S,Master,CA,2144
61,0,3,male,22.0,0,0,7.2292,U,C,Mr,U,2669
62,1,1,female,38.0,0,0,80.0,B,U,Miss,U,113572
63,0,1,male,45.0,1,0,83.475,C,S,Mr,U,36973
64,0,3,male,4.0,3,2,27.9,U,S,Master,U,347088
65,0,1,male,29.69911764705882,0,0,27.7208,U,C,Mr,PC,17605
66,1,3,male,29.69911764705882,1,1,15.2458,U,C,Master,U,2661
67,1,2,female,29.0,0,0,10.5,F,S,Mrs,CA,29395
68,0,3,male,19.0,0,0,8.1583,U,S,Mr,SP,3464
69,1,3,female,17.0,4,2,7.925,U,S,Miss,U,3101281
70,0,3,male,26.0,2,0,8.6625,U,S,Mr,U,315151
71,0,2,male,32.0,0,0,10.5,U,S,Mr,CA,33111
72,0,3,female,16.0,5,2,46.9,U,S,Miss,CA,2144
73,0,2,male,21.0,0,0,73.5,U,S,Mr,SOC,14879
74,0,3,male,26.0,1,0,14.4542,U,C,Mr,U,2680
75,1,3,male,32.0,0,0,56.4958,U,S,Mr,U,1601
76,0,3,male,25.0,0,0,7.65,F,S,Mr,U,348123
77,0,3,male,29.69911764705882,0,0,7.8958,U,S,Mr,U,349208
78,0,3,male,29.69911764705882,0,0,8.05,U,S,Mr,U,374746
79,1,2,male,0.83,0,2,29.0,U,S,Master,U,248738
80,1,3,female,30.0,0,0,12.475,U,S,Miss,U,364516
81,0,3,male,22.0,0,0,9.0,U,S,Mr,U,345767
82,1,3,male,29.0,0,0,9.5,U,S,Mr,U,345779
83,1,3,female,29.69911764705882,0,0,7.7875,U,Q,Miss,U,330932
84,0,1,male,28.0,0,0,47.1,U,S,Mr,U,113059
85,1,2,female,17.0,0,0,10.5,U,S,Miss,SOC,14885
86,1,3,female,33.0,3,0,15.85,U,S,Mrs,U,3101278
87,0,3,male,16.0,1,3,34.375,U,S,Mr,WC,6608
88,0,3,male,29.69911764705882,0,0,8.05,U,S,Mr,SOTONOQ,392086
89,1,1,female,23.0,3,2,263.0,C,S,Miss,U,19950
90,0,3,male,24.0,0,0,8.05,U,S,Mr,U,343275
91,0,3,male,29.0,0,0,8.05,U,S,Mr,U,343276
92,0,3,male,20.0,0,0,7.8542,U,S,Mr,U,347466
93,0,1,male,46.0,1,0,61.175,E,S,Mr,WEP,5734
94,0,3,male,26.0,1,2,20.575,U,S,Mr,CA,2315
95,0,3,male,59.0,0,0,7.25,U,S,Mr,U,364500
96,0,3,male,29.69911764705882,0,0,8.05,U,S,Mr,U,374910
97,0,1,male,71.0,0,0,34.6542,A,C,Mr,PC,17754
98,1,1,male,23.0,0,1,63.3583,D,C,Mr,PC,17759
99,1,2,female,34.0,0,1,23.0,U,S,Mrs,U,231919
100,0,2,male,34.0,1,0,26.0,U,S,Mr,U,244367
101,0,3,female,28.0,0,0,7.8958,U,S,Miss,U,349245
102,0,3,male,29.69911764705882,0,0,7.8958,U,S,Mr,U,349215
103,0,1,male,21.0,0,1,77.2875,D,S,Mr,U,35281
104,0,3,male,33.0,0,0,8.6542,U,S,Mr,U,7540
105,0,3,male,37.0,2,0,7.925,U,S,Mr,U,3101276
106,0,3,male,28.0,0,0,7.8958,U,S,Mr,U,349207
107,1,3,female,21.0,0,0,7.65,U,S,Miss,U,343120
108,1,3,male,29.69911764705882,0,0,7.775,U,S,Mr,U,312991
109,0,3,male,38.0,0,0,7.8958,U,S,Mr,U,349249
110,1,3,female,29.69911764705882,1,0,24.15,U,Q,Miss,U,371110
111,0,1,male,47.0,0,0,52.0,C,S,Mr,U,110465
112,0,3,female,14.5,1,0,14.4542,U,C,Miss,U,2665
113,0,3,male,22.0,0,0,8.05,U,S,Mr,U,324669
114,0,3,female,20.0,1,0,9.825,U,S,Miss,U,4136
115,0,3,female,17.0,0,0,14.4583,U,C,Miss,U,2627
116,0,3,male,21.0,0,0,7.925,U,S,Mr,STONO,23101294
117,0,3,male,70.5,0,0,7.75,U,Q,Mr,U,370369
118,0,2,male,29.0,1,0,21.0,U,S,Mr,U,11668
119,0,1,male,24.0,0,1,247.5208,B,C,Mr,PC,17558
120,0,3,female,2.0,4,2,31.275,U,S,Miss,U,347082
121,0,2,male,21.0,2,0,73.5,U,S,Mr,SOC,14879
122,0,3,male,29.69911764705882,0,0,8.05,U,S,Mr,A,54510
123,0,2,male,32.5,1,0,30.0708,U,C,Mr,U,237736
124,1,2,female,32.5,0,0,13.0,E,S,Miss,U,27267
125,0,1,male,54.0,0,1,77.2875,D,S,Mr,U,35281
126,1,3,male,12.0,1,0,11.2417,U,C,Master,U,2651
127,0,3,male,29.69911764705882,0,0,7.75,U,Q,Mr,U,370372
128,1,3,male,24.0,0,0,7.1417,U,S,Mr,C,17369
129,1,3,female,29.69911764705882,1,1,22.3583,F,C,Miss,U,2668
130,0,3,male,45.0,0,0,6.975,U,S,Mr,U,347061
131,0,3,male,33.0,0,0,7.8958,U,C,Mr,U,349241
132,0,3,male,20.0,0,0,7.05,U,S,Mr,SOTONOQ,3101307
133,0,3,female,47.0,1,0,14.5,U,S,Mrs,A,3337
134,1,2,female,29.0,1,0,26.0,U,S,Mrs,U,228414
135,0,2,male,25.0,0,0,13.0,U,S,Mr,CA,29178
136,0,2,male,23.0,0,0,15.0458,U,C,Mr,SCPARIS,2133
137,1,1,female,19.0,0,2,26.2833,D,S,Miss,U,11752
138,0,1,male,37.0,1,0,53.1,C,S,Mr,U,113803
139,0,3,male,16.0,0,0,9.2167,U,S,Mr,U,7534
140,0,1,male,24.0,0,0,79.2,B,C,Mr,PC,17593
141,0,3,female,29.69911764705882,0,2,15.2458,U,C,Mrs,U,2678
142,1,3,female,22.0,0,0,7.75,U,S,Miss,U,347081
143,1,3,female,24.0,1,0,15.85,U,S,Mrs,STONO,3101279
144,0,3,male,19.0,0,0,6.75,U,Q,Mr,U,365222
145,0,2,male,18.0,0,0,11.5,U,S,Mr,U,231945
146,0,2,male,19.0,1,1,36.75,U,S,Mr,CA,33112
147,1,3,male,27.0,0,0,7.7958,U,S,Mr,U,350043
148,0,3,female,9.0,2,2,34.375,U,S,Miss,WC,6608
149,0,2,male,36.5,0,2,26.0,F,S,Mr,U,230080
150,0,2,male,42.0,0,0,13.0,U,S,Rev,U,244310
151,0,2,male,51.0,0,0,12.525,U,S,Rev,SOP,1166
152,1,1,female,22.0,1,0,66.6,C,S,Mrs,U,113776
153,0,3,male,55.5,0,0,8.05,U,S,Mr,A,11206
154,0,3,male,40.5,0,2,14.5,U,S,Mr,A,851
155,0,3,male,29.69911764705882,0,0,7.3125,U,S,Mr,Fa,265302
156,0,1,male,51.0,0,1,61.3792,U,C,Mr,PC,17597
157,1,3,female,16.0,0,0,7.7333,U,Q,Miss,U,35851
158,0,3,male,30.0,0,0,8.05,U,S,Mr,SOTONOQ,392090
159,0,3,male,29.69911764705882,0,0,8.6625,U,S,Mr,U,315037
160,0,3,male,29.69911764705882,8,2,69.55,U,S,Master,CA,2343
161,0,3,male,44.0,0,1,16.1,U,S,Mr,U,371362
162,1,2,female,40.0,0,0,15.75,U,S,Mrs,CA,33595
163,0,3,male,26.0,0,0,7.775,U,S,Mr,U,347068
164,0,3,male,17.0,0,0,8.6625,U,S,Mr,U,315093
165,0,3,male,1.0,4,1,39.6875,U,S,Master,U,3101295
166,1,3,male,9.0,0,2,20.525,U,S,Master,U,363291
167,1,1,female,29.69911764705882,0,1,55.0,E,S,Mrs,U,113505
168,0,3,female,45.0,1,4,27.9,U,S,Mrs,U,347088
169,0,1,male,29.69911764705882,0,0,25.925,U,S,Mr,PC,17318
170,0,3,male,28.0,0,0,56.4958,U,S,Mr,U,1601
171,0,1,male,61.0,0,0,33.5,B,S,Mr,U,111240
172,0,3,male,4.0,4,1,29.125,U,Q,Master,U,382652
173,1,3,female,1.0,1,1,11.1333,U,S,Miss,U,347742
174,0,3,male,21.0,0,0,7.925,U,S,Mr,STONO,23101280
175,0,1,male,56.0,0,0,30.6958,A,C,Mr,U,17764
176,0,3,male,18.0,1,1,7.8542,U,S,Mr,U,350404
177,0,3,male,29.69911764705882,3,1,25.4667,U,S,Master,U,4133
178,0,1,female,50.0,0,0,28.7125,C,C,Miss,PC,17595
179,0,2,male,30.0,0,0,13.0,U,S,Mr,U,250653
180,0,3,male,36.0,0,0,0.0,U,S,Mr,LINE,0
181,0,3,female,29.69911764705882,8,2,69.55,U,S,Miss,CA,2343
182,0,2,male,29.69911764705882,0,0,15.05,U,C,Mr,SCPARIS,2131
183,0,3,male,9.0,4,2,31.3875,U,S,Master,U,347077
184,1,2,male,1.0,2,1,39.0,F,S,Master,U,230136
185,1,3,female,4.0,0,2,22.025,U,S,Miss,U,315153
186,0,1,male,29.69911764705882,0,0,50.0,A,S,Mr,U,113767
187,1,3,female,29.69911764705882,1,0,15.5,U,Q,Mrs,U,370365
188,1,1,male,45.0,0,0,26.55,U,S,Mr,U,111428
189,0,3,male,40.0,1,1,15.5,U,Q,Mr,U,364849
190,0,3,male,36.0,0,0,7.8958,U,S,Mr,U,349247
191,1,2,female,32.0,0,0,13.0,U,S,Mrs,U,234604
192,0,2,male,19.0,0,0,13.0,U,S,Mr,U,28424
193,1,3,female,19.0,1,0,7.8542,U,S,Miss,U,350046
194,1,2,male,3.0,1,1,26.0,F,S,Master,U,230080
195,1,1,female,44.0,0,0,27.7208,B,C,Mrs,PC,17610
196,1,1,female,58.0,0,0,146.5208,B,C,Miss,PC,17569
197,0,3,male,29.69911764705882,0,0,7.75,U,Q,Mr,U,368703
198,0,3,male,42.0,0,1,8.4042,U,S,Mr,U,4579
199,1,3,female,29.69911764705882,0,0,7.75,U,Q,Miss,U,370370
200,0,2,female,24.0,0,0,13.0,U,S,Miss,U,248747
201,0,3,male,28.0,0,0,9.5,U,S,Mr,U,345770
202,0,3,male,29.69911764705882,8,2,69.55,U,S,Mr,CA,2343
203,0,3,male,34.0,0,0,6.4958,U,S,Mr,U,3101264
204,0,3,male,45.5,0,0,7.225,U,C,Mr,U,2628
205,1,3,male,18.0,0,0,8.05,U,S,Mr,A,3540
206,0,3,female,2.0,0,1,10.4625,G,S,Miss,U,347054
207,0,3,male,32.0,1,0,15.85,U,S,Mr,U,3101278
208,1,3,male,26.0,0,0,18.7875,U,C,Mr,U,2699
209,1,3,female,16.0,0,0,7.75,U,Q,Miss,U,367231
210,1,1,male,40.0,0,0,31.0,A,C,Mr,U,112277
211,0,3,male,24.0,0,0,7.05,U,S,Mr,SOTONOQ,3101311
212,1,2,female,35.0,0,0,21.0,U,S,Miss,FCC,13528
213,0,3,male,22.0,0,0,7.25,U,S,Mr,A,21174
214,0,2,male,30.0,0,0,13.0,U,S,Mr,U,250646
215,0,3,male,29.69911764705882,1,0,7.75,U,Q,Mr,U,367229
216,1,1,female,31.0,1,0,113.275,D,C,Miss,U,35273
217,1,3,female,27.0,0,0,7.925,U,S,Miss,STONO,3101283
218,0,2,male,42.0,1,0,27.0,U,S,Mr,U,243847
219,1,1,female,32.0,0,0,76.2917,D,C,Miss,U,11813
220,0,2,male,30.0,0,0,10.5,U,S,Mr,WC,14208
221,1,3,male,16.0,0,0,8.05,U,S,Mr,SOTONOQ,392089
222,0,2,male,27.0,0,0,13.0,U,S,Mr,U,220367
223,0,3,male,51.0,0,0,8.05,U,S,Mr,U,21440
224,0,3,male,29.69911764705882,0,0,7.8958,U,S,Mr,U,349234
225,1,1,male,38.0,1,0,90.0,C,S,Mr,U,19943
226,0,3,male,22.0,0,0,9.35,U,S,Mr,PP,4348
227,1,2,male,19.0,0,0,10.5,U,S,Mr,SWPP,751
228,0,3,male,20.5,0,0,7.25,U,S,Mr,A,21173
229,0,2,male,18.0,0,0,13.0,U,S,Mr,U,236171
230,0,3,female,29.69911764705882,3,1,25.4667,U,S,Miss,U,4133
231,1,1,female,35.0,1,0,83.475,C,S,Mrs,U,36973
232,0,3,male,29.0,0,0,7.775,U,S,Mr,U,347067
233,0,2,male,59.0,0,0,13.5,U,S,Mr,U,237442
234,1,3,female,5.0,4,2,31.3875,U,S,Miss,U,347077
235,0,2,male,24.0,0,0,10.5,U,S,Mr,CA,29566
236,0,3,female,29.69911764705882,0,0,7.55,U,S,Miss,WC,6609
237,0,2,male,44.0,1,0,26.0,U,S,Mr,U,26707
238,1,2,female,8.0,0,2,26.25,U,S,Miss,CA,31921
239,0,2,male,19.0,0,0,10.5,U,S,Mr,U,28665
240,0,2,male,33.0,0,0,12.275,U,S,Mr,SCOW,1585
241,0,3,female,29.69911764705882,1,0,14.4542,U,C,Miss,U,2665
242,1,3,female,29.69911764705882,1,0,15.5,U,Q,Miss,U,367230
243,0,2,male,29.0,0,0,10.5,U,S,Mr,WC,14263
244,0,3,male,22.0,0,0,7.125,U,S,Mr,STONO,23101275
245,0,3,male,30.0,0,0,7.225,U,C,Mr,U,2694
246,0,1,male,44.0,2,0,90.0,C,Q,Dr,U,19928
247,0,3,female,25.0,0,0,7.775,U,S,Miss,U,347071
248,1,2,female,24.0,0,2,14.5,U,S,Mrs,U,250649
249,1,1,male,37.0,1,1,52.5542,D,S,Mr,U,11751
250,0,2,male,54.0,1,0,26.0,U,S,Rev,U,244252
251,0,3,male,29.69911764705882,0,0,7.25,U,S,Mr,U,362316
252,0,3,female,29.0,1,1,10.4625,G,S,Mrs,U,347054
253,0,1,male,62.0,0,0,26.55,C,S,Mr,U,113514
254,0,3,male,30.0,1,0,16.1,U,S,Mr,A,3336
255,0,3,female,41.0,0,2,20.2125,U,S,Mrs,U,370129
256,1,3,female,29.0,0,2,15.2458,U,C,Mrs,U,2650
