PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title,class_ticket,num_ticket
1,0,3,male,22.0,1,0,7.25,Unknown,S,Mr,A,21171
2,1,1,female,38.0,1,0,71.2833,C85,C,Mrs,PC,17599
3,1,3,female,26.0,0,0,7.925,Unknown,S,Miss,STONO,3101282
4,1,1,female,35.0,1,0,53.1,C123,S,Mrs,,113803
5,0,3,male,35.0,0,0,8.05,Unknown,S,Mr,,373450
6,0,3,male,29.69911764705882,0,0,8.4583,Unknown,Q,Mr,,330877
7,0,1,male,54.0,0,0,51.8625,E46,S,Mr,,17463
8,0,3,male,2.0,3,1,21.075,Unknown,S,Master,,349909
9,1,3,female,27.0,0,2,11.1333,Unknown,S,Mrs,,347742
10,1,2,female,14.0,1,0,30.0708,Unknown,C,Mrs,,237736
11,1,3,female,4.0,1,1,16.7,G6,S,Miss,PP,9549
12,1,1,female,58.0,0,0,26.55,C103,S,Miss,,113783
13,0,3,male,20.0,0,0,8.05,Unknown,S,Mr,A,2151
14,0,3,male,39.0,1,5,31.275,Unknown,S,Mr,,347082
15,0,3,female,14.0,0,0,7.8542,Unknown,S,Miss,,350406
16,1,2,female,55.0,0,0,16.0,Unknown,S,Mrs,,248706
17,0,3,male,2.0,4,1,29.125,Unknown,Q,Master,,382652
18,1,2,male,29.69911764705882,0,0,13.0,Unknown,S,Mr,,244373
19,0,3,female,31.0,1,0,18.0,Unknown,S,Mrs,,345763
20,1,3,female,29.69911764705882,0,0,7.225,Unknown,C,Mrs,,2649
21,0,2,male,35.0,0,0,26.0,Unknown,S,Mr,,239865
22,1,2,male,34.0,0,0,13.0,D56,S,Mr,,248698
23,1,3,female,15.0,0,0,8.0292,Unknown,Q,Miss,,330923
24,1,1,male,28.0,0,0,35.5,A6,S,Mr,,113788
25,0,3,female,8.0,3,1,21.075,Unknown,S,Miss,,349909
26,1,3,female,38.0,1,5,31.3875,Unknown,S,Mrs,,347077
27,0,3,male,29.69911764705882,0,0,7.225,Unknown,C,Mr,,2631
28,0,1,male,19.0,3,2,263.0,C23 C25 C27,S,Mr,,19950
29,1,3,female,29.69911764705882,0,0,7.8792,Unknown,Q,Miss,,330959
30,0,3,male,29.69911764705882,0,0,7.8958,Unknown,S,Mr,,349216
31,0,1,male,40.0,0,0,27.7208,Unknown,C,Don,PC,17601
32,1,1,female,29.69911764705882,1,0,146.5208,B78,C,Mrs,PC,17569
33,1,3,female,29.69911764705882,0,0,7.75,Unknown,Q,Miss,,335677
34,0,2,male,66.0,0,0,10.5,Unknown,S,Mr,CA,24579
35,0,1,male,28.0,1,0,82.1708,Unknown,C,Mr,PC,17604
36,0,1,male,42.0,1,0,52.0,Unknown,S,Mr,,113789
37,1,3,male,29.69911764705882,0,0,7.2292,Unknown,C,Mr,,2677
38,0,3,male,21.0,0,0,8.05,Unknown,S,Mr,A,2152
39,0,3,female,18.0,2,0,18.0,Unknown,S,Miss,,345764
40,1,3,female,14.0,1,0,11.2417,Unknown,C,Miss,,2651
41,0,3,female,40.0,1,0,9.475,Unknown,S,Mrs,,7546
42,0,2,female,27.0,1,0,21.0,Unknown,S,Mrs,,11668
43,0,3,male,29.69911764705882,0,0,7.8958,Unknown,C,Mr,,349253
44,1,2,female,3.0,1,2,41.5792,Unknown,C,Miss,SCParis,2123
45,1,3,female,19.0,0,0,7.8792,Unknown,Q,Miss,,330958
46,0,3,male,29.69911764705882,0,0,8.05,Unknown,S,Mr,SCA,23567
47,0,3,male,29.69911764705882,1,0,15.5,Unknown,Q,Mr,,370371
48,1,3,female,29.69911764705882,0,0,7.75,Unknown,Q,Miss,,14311
49,0,3,male,29.69911764705882,2,0,21.6792,Unknown,C,Mr,,2662
50,0,3,female,18.0,1,0,17.8,Unknown,S,Mrs,,349237
51,0,3,male,7.0,4,1,39.6875,Unknown,S,Master,,3101295
52,0,3,male,21.0,0,0,7.8,Unknown,S,Mr,A,39886
53,1,1,female,49.0,1,0,76.7292,D33,C,Mrs,PC,17572
54,1,2,female,29.0,1,0,26.0,Unknown,S,Mrs,,2926
55,0,1,male,65.0,0,1,61.9792,B30,C,Mr,,113509
56,1,1,male,29.69911764705882,0,0,35.5,C52,S,Mr,,19947
57,1,2,female,21.0,0,0,10.5,Unknown,S,Miss,CA,31026
58,0,3,male,28.5,0,0,7.2292,Unknown,C,Mr,,2697
59,1,2,female,5.0,1,2,27.75,Unknown,S,Miss,CA,34651
60,0,3,male,11.0,5,2,46.9,Unknown,S,Master,CA,2144
61,0,3,male,22.0,0,0,7.2292,Unknown,C,Mr,,2669
62,1,1,female,38.0,0,0,80.0,B28,U,Miss,,113572
63,0,1,male,45.0,1,0,83.475,C83,S,Mr,,36973
64,0,3,male,4.0,3,2,27.9,Unknown,S,Master,,347088
65,0,1,male,29.69911764705882,0,0,27.7208,Unknown,C,Mr,PC,17605
66,1,3,male,29.69911764705882,1,1,15.2458,Unknown,C,Master,,2661
67,1,2,female,29.0,0,0,10.5,F33,S,Mrs,CA,29395
68,0,3,male,19.0,0,0,8.1583,Unknown,S,Mr,SP,3464
69,1,3,female,17.0,4,2,7.925,Unknown,S,Miss,,3101281
70,0,3,male,26.0,2,0,8.6625,Unknown,S,Mr,,315151
71,0,2,male,32.0,0,0,10.5,Unknown,S,Mr,CA,33111
72,0,3,female,16.0,5,2,46.9,Unknown,S,Miss,CA,2144
73,0,2,male,21.0,0,0,73.5,Unknown,S,Mr,SOC,14879
74,0,3,male,26.0,1,0,14.4542,Unknown,C,Mr,,2680
75,1,3,male,32.0,0,0,56.4958,Unknown,S,Mr,,1601
76,0,3,male,25.0,0,0,7.65,F G73,S,Mr,,348123
77,0,3,male,29.69911764705882,0,0,7.8958,Unknown,S,Mr,,349208
78,0,3,male,29.69911764705882,0,0,8.05,Unknown,S,Mr,,374746
79,1,2,male,0.83,0,2,29.0,Unknown,S,Master,,248738
80,1,3,female,30.0,0,0,12.475,Unknown,S,Miss,,364516
81,0,3,male,22.0,0,0,9.0,Unknown,S,Mr,,345767
82,1,3,male,29.0,0,0,9.5,Unknown,S,Mr,,345779
83,1,3,female,29.69911764705882,0,0,7.7875,Unknown,Q,Miss,,330932
84,0,1,male,28.0,0,0,47.1,Unknown,S,Mr,,113059
